# character	reading	attested
𨷮	huō	huō
𨷱	zhuǎn	zhuǎn
𨷲	yuè	yuè
𨷻	lán	lán
𨷽	yán	yán
𨷾	dàng	dàng
𨷿	xiàng	xiàng
𨸀	yuè	yuè
𨸁	tǐng	tǐng
𨸂	bēng	bēng
𨸃	sàn	sàn
𨸄	xiàn	xiàn
𨸅	dié	dié
𨸆	pì	pì
𨸇	pián	pián
𨸉	tǎ	tǎ
𨸋	jiāo	jiāo
𨸌	yē	yē
𨸎	yuè	yuè
𨸐	réng	réng
𨸑	qiǎo	qiǎo
𨸒	qí	qí
𨸓	diāo	diāo
𨸔	qí	qí|wéi
𨸗	hàn	hàn
𨸘	yuán	yuán
𨸙	yóu	yóu
𨸚	jí	jí
𨸛	gài	gài
𨸜	hāi	hāi
𨸝	shì	shì
𨸟	qū	qū
𨸩	wèn	wèn
𨸬	zhèn	zhèn
𨸭	pō	pō
𨸮	yán	yán|yǔn
𨸯	gū	gū
𨸰	jú	jú
𨸱	tiàn	niǎn|tiàn
𨸷	è	è
𨸺	yā	yā
𨸻	lìn	lìn
𨸼	bì	bì
𨹀	zǐ	zǐ
𨹁	hóng	hóng
𨹃	duǒ	duò|duǒ
𨹅	duì	duì
𨹆	xuàn	xuàn
𨹈	shǎn	shǎn|yáng
𨹊	shǎn	shǎn
𨹋	yáo	yáo
𨹌	rǎn	rǎn
𨹔	tuó	tuó
𨹗	bīng	bīng
𨹘	xù	xù
𨹙	tūn	tūn
𨹚	chéng	chéng
𨹜	dòu	dòu
𨹝	yì	yà|yì
𨹡	chè	chè
𨹵	juǎn	juǎn
𨹶	jī	jī
𨹸	zhào	zhào
𨹹	bēng	bèng|bēng
𨹻	tiǎn	tiǎn
𨺀	pēng	pēng
𨺅	fù	fù
𨺖	tuǒ	tuǒ
𨺘	xián	xián
𨺙	nì	nì
𨺚	lóng	lóng
𨺝	zhuó	zhuó
𨺟	zhēng	zhēng
𨺠	shǔn	shǔn
𨺡	zōng	zōng
𨺢	fēng	fēng
𨺣	duàn	duàn
𨺤	pì	pì
𨺥	yǎn	yǎn
𨺦	sǒu	sǒu
𨺧	qiú	qiú
𨺨	è	è
𨺩	qián	qián
𨺫	qiǎn	qiǎn
𨺭	cā	cā
𨺮	xùn	xùn
𨺵	zhuì	zhuì
𨺸	mǎo	mǎo
𨺹	jiǎo	jiǎo
𨺿	zhǎn	zhǎn
𨻀	pí	bī|pí
𨻁	xī	xī
𨻂	yàn	yàn
𨻃	fèi	fèi
𨻄	niè	niè
𨻆	zhì	zhì
𨻈	suǒ	suǒ
𨻊	yì	yì
𨻌	lěi	lěi
𨻍	xù	xù
𨻏	yì	yì
𨻒	wēi	wēi
𨻕	jī	jī
𨻖	chēn	chēn
𨻗	dié	dié
𨻣	yuán	yuán
𨻥	xí	xí
𨻧	liú	liú
𨻨	suǒ	suǒ
𨻱	bēng	bēng
𨻲	xià	xià
𨻳	yàn	yàn|yān
𨻵	cuī	cuī|duì|zuī
𨻷	kāng	kāng
𨻺	qīng	qīng
𨻻	lóu	lóu
𨻼	bī	bī
𨼈	zhàn	zhàn
𨼉	cuàn	cuàn
𨼊	wú	wú
𨼋	xū	xū
𨼌	chēn	chēn
𨼍	háo	háo
𨼎	jué	jué
𨼐	chèn	chèn
𨼑	chá	chá
𨼒	chǎn	chǎn
𨼓	zhí	zhí
𨼔	xún	xún
𨼣	gé	gé
𨼤	chén	chén
𨼥	yè	gé|yè
𨼪	chǔ	chǔ
𨼫	qú	qú
𨼬	xiè	xiè
𨼮	zhàn	zhàn
𨼯	kěn	kěn
𨼱	jué	jué
𨼽	qú	qú
𨼿	méng	méng
𨽀	yè	yè
𨽁	zōu	cóng|zōu
𨽂	pú	pú
𨽄	shì	shì
𨽉	shǔ	shǔ
𨽊	chán	chán
𨽍	dú	dú
𨽏	guō	guō
𨽐	lù	lù|yáng
𨽑	yān	yān
𨽖	niǎo	niǎo
𨽗	bīn	bīn|pín
𨽟	tuí	tuí
𨽦	nì	nì
𨽧	huān	huān
𨽨	qián	qián
𨽯	xià	xià
𨽲	líng	líng
𨽷	lián	lián
𨽹	yì	lì|yì
𨽻	lì	lì
𨽼	sì	sì
𨽿	dài	dài
𨾂	wèi	wèi
𨾅	cì	cì
𨾉	jiǔ	jiǔ
𨾊	hóng	hóng
𨾌	yú	yú
𨾎	kuí	kuí
𨾒	háng	háng
𨾓	gē	gē|yì
𨾔	fàng	fàng
𨾗	kuí	kuí|xié
𨾚	guī	fū|guī
𨾛	chǐ	chǐ|qí
𨾞	jiǔ	jiǔ
𨾡	suī	huǎng|suī
𨾤	dié	dié
𨾬	suǐ	suǐ
𨾰	qín	qín
𨾴	guī	guī
𨾻	zhuī	zhuī
𨾾	tiào	tiào
𨿁	yuè	yuè
𨿇	zuǐ	zuǐ
𨿏	wú	wú
𨿐	cuǐ	cuǐ
𨿛	zhì	xī|zhì
𨿠	shuì	shuì
𨿢	dōng	dōng
𨿭	wéi	wéi
𨿿	chǒng	chǒng
𩀋	rún	rún
𩀖	jí	jí
𩀜	diāo	diāo
𩀞	cāng	cāng
𩀠	kòu	gǔ|kòu
𩀣	wéi	wéi
𩀧	cán	cán
𩀪	má	má
𩀫	òu	òu
𩀲	sǎn	sǎn
𩀶	wéi	huī|mí|wéi
𩀼	sǎn	sǎn
𩀿	jīn	jīn
𩁌	wéi	wéi
𩁞	cài	cài
𩁟	lí	lí
𩁯	yuè	yuè
𩁴	yūn	yūn
𩁷	chēng	chēng
𩁺	shān	shān
𩂂	hū	hū
𩂃	shài	shài
𩂄	tún	tún
𩂆	fǒu	fù|fǒu
𩂈	qìn	qìn
𩂉	xū	chēn|xū
𩂍	chuān	chuān
𩂎	fù	fù
𩂒	yì	yì|ài
𩂓	dōng	dōng
𩂔	fú	fú
𩂕	fú	fú
𩂖	zé	zé
𩂗	pù	pù
𩂙	líng	líng
𩂝	shài	shài|yīng
𩂞	pào	pào
𩂢	yín	yín|ái
𩂣	luò	luò
𩂤	huà	huà
𩂥	yìn	yìn
𩂦	bèng	bèng
𩂧	yū	yū
𩂨	shè	shè
𩂪	xiè	xiè
𩂫	chǔ	chǔ
𩂴	shè	shè
𩂵	diàn	diàn
𩂹	yì	yì
𩂻	chè	chè
𩂼	gěng	gěng
𩂽	lóng	lóng
𩂾	píng	píng
𩂿	yǔn	yǔn
𩃀	yàn	yàn
𩃁	mò	mò
𩃃	suī	suī
𩃋	jìng	jìng
𩃍	sòng	sòng
𩃎	páng	páng
𩃐	yá	yá
𩃑	sè	sè
𩃒	duǒ	duǒ
𩃕	chuáng	chuáng
𩃖	xiè	xiè
𩃘	tuán	tuán
𩃙	gōng	gōng
𩃚	xuàn	xuàn
𩃜	lā	lā
𩃞	líng	líng
𩃠	dài	dài
𩃡	zhá	zhá
𩃬	yīn	yīn
𩃭	sōng	sōng
𩃯	yǔ	yǔ
𩃰	tuó	tuó
𩃱	tuó	tuó
𩃴	bà	bà
𩃵	rǎn	rǎn
𩃶	bó	bó
𩃷	dài	dài
𩃹	zhá	zhá|zhǎ
𩃺	hóu	hóu
𩃾	huǐ	huǐ
𩄅	lú	lú
𩄊	lìng	lìng
𩄋	rú	rú
𩄕	dàn	dàn
𩄖	méng	méng
𩄗	xià	xià
𩄘	wěng	wěng
𩄙	hán	hán
𩄚	zī	zī
𩄛	zhèn	zhèn
𩄜	sè	sè
𩄝	cuó	cuó
𩄞	lì	lì
𩄠	diān	diān
𩄡	lián	lián
𩄢	gòu	gòu
𩄦	péng	péng
𩄪	yīng	yīng
𩄬	hòu	hòu
𩄮	duì	duì
𩄯	wù	wù
𩄷	piào	piào
𩄸	hè	hè
𩄺	lóng	lóng
𩄻	mò	mò
𩄼	fěi	fěi
𩄽	lǚ	lǚ
𩄾	zé	zé
𩄿	bó	bó
𩅀	diàn	diàn|zhí
𩅁	mǎng	mǎng
𩅃	zhuàng	chóng|zhuàng
𩅄	lù	lù
𩅅	pāng	pāng
𩅆	duì	duì
𩅇	bù	bù
𩅌	chēn	chēn
𩅍	màn	màn
𩅖	xī	xī
𩅝	ǎn	ǎn
𩅞	zhōng	chòng|zhōng
𩅠	nàn	nàn
𩅡	tuò	tuò
𩅢	hé	hé
𩅥	duì	duì
𩅦	wān	dān|wān
𩅧	zhōng	zhōng
𩅨	cén	cén|shèn
𩅩	lì	lì
𩅪	shuāng	shuāng
𩅮	cén	cén
𩅰	sī	sī
𩅲	duì	duì
𩅴	hūn	hūn
𩅼	jiān	jiàn|jiān
𩅽	nóng	nóng
𩅾	dàn	dàn
𩅿	fù	fù
𩆀	huò	huò
𩆁	huì	huì|wèi
𩆂	cí	cí
𩆄	yǒng	yǒng
𩆅	sà	sà
𩆆	tíng	tíng
𩆎	liù	liù
𩆑	suān	suān
𩆒	líng	líng
𩆓	mán	màn|mán
𩆔	diàn	diàn
𩆘	pāo	pāo
𩆚	líng	líng
𩆝	lì	lì
𩆟	nóu	nóu
𩆣	liè	liè
𩆤	shǎn	shǎn
𩆦	fèi	fèi
𩆫	shǎn	shǎn
𩆮	líng	líng
𩆯	zhàn	jiān|zhàn
𩆱	bīn	bīn
𩆲	lí	lí
𩆵	sī	sī|xiàn
𩆶	ráng	ráng
𩆷	jiān	jiān
𩆸	zhuó	zhuó
𩆻	líng	líng
𩆼	líng	líng
𩆽	mèng	mèng
𩆿	shuāng	shuāng
𩇄	líng	líng
𩇇	hùn	hùn
𩇎	líng	líng
𩇏	jiān	jiān
𩇐	qú	qú
𩇔	nóng	nóng
𩇕	jìng	jìng
𩇖	chēn	chēn
𩇜	zhēn	chèng|chēng|zhēn
𩇝	qìng	qìng
𩇟	qìng	qìng
𩇠	è	yǎn|è
𩇣	sè	sè
𩇩	bèi	bèi
𩇫	fēi	fēi
𩇮	fèi	fèi
𩇯	féi	féi
𩇴	fāng	fāng
𩇵	kǔ	kǔ
𩇺	zá	zá
𩇻	huì	huì
𩇽	féi	féi
𩈁	duì	duì
𩈆	pā	pā
𩈇	niǔ	niǔ
𩈈	pàng	pàng
𩈉	dàn	dàn
𩈊	dān	dàn|dān
𩈋	ài	ài
𩈍	tiǎn	tiǎn
𩈎	chǎo	chǎo
𩈏	ǎo	yǒu|ǎo
𩈐	mèi	mèi
𩈑	nǎn	nǎn
𩈔	bò	bò
𩈕	yù	chì|yù
𩈖	xiān	hān|xiān
𩈗	mài	mài
𩈚	pīng	pīng
𩈜	duī	duī
𩈞	dào	dào
𩈡	xìng	xìng
𩈢	nì	nì|nǜ
𩈣	hān	hān
𩈤	chù	chù
𩈥	shuǎ	shuǎ
𩈦	mǎn	mǎn
𩈬	wàn	wàn
𩈭	yì	yì
𩈮	diào	diào
𩈯	yān	yān
𩈱	wò	wò
𩈲	suàn	suàn
𩈴	ǎn	ǎn
𩈵	lán	lán
𩈶	nǎn	nǎn
𩈸	qiǔ	qiǔ
𩈹	miàn	miàn
𩈺	nuǒ	nuǒ
𩈻	cán	cán
𩈼	cǎn	cǎn
𩉀	làn	làn
𩉁	tiǎn	tiǎn
𩉂	yè	yè
𩉄	niǎn	niǎn
𩉆	shuǎ	shuǎ
𩉋	cí	cí
𩉍	jiǎn	jiǎn
𩉐	gàn	gàn
𩉔	jiàn	jiàn
𩉕	guó	guó
𩉗	zhān	zhān
𩉙	luǒ	luǒ
𩉜	jī	hàng|jī
𩉝	guì	guì
𩉡	jiá	jiá
𩉢	jǐ	jǐ
𩉥	xuàn	xuàn
𩉧	fēng	fēng
𩉫	bì	bì
𩉬	qí	chí|qí
𩉯	yuán	yuán
𩉰	àng	àng
𩉱	dī	dī
𩉴	è	è
𩉵	fén	fén
𩉸	jù	jù
𩉹	nǐ	nǐ
𩉺	tuó	tuó
𩉼	shēn	shēn
𩉽	fú	fú
𩉾	xiá	xiá
𩉿	qú	qú
𩊀	pò	pò
𩊁	wǎn	wǎn
𩊂	líng	líng
𩊃	mà	mà
𩊄	zhòu	zhòu
𩊅	bào	bào
𩊇	yù	yù
𩊌	běng	běng
𩊍	mài	mài
𩊏	jiā	jiā
𩊑	yǎng	yǎng
𩊓	kuǎ	kuǎ|kù
𩊔	jiào	jiào
𩊖	bǐng	bǐng
𩊚	luò	luò
𩊛	guǐ	guǐ
𩊜	duò	duò
𩊝	zhì	zhì
𩊡	zhèn	zhèn
𩊢	è	è
𩊣	zhū	zhū
𩊤	bá	bá
𩊨	zhèn	zhèn
𩊩	fēng	féng|fēng
𩊪	dòu	dòu
𩊫	niǎn	niǎn
𩊬	bù	bù
𩊭	duì	duì
𩊮	shā	shā|suō
𩊯	sè	sè
𩊰	bì	bì
𩊴	zhì	zhì
𩊵	zhé	zhé
𩊶	bù	bù
𩊺	jué	jué
𩊻	xùn	xùn
𩊿	xì	xì
𩋁	zhuó	zhuó
𩋂	bài	bài
𩋃	yáo	táo|yáo
𩋄	chǒu	chǒu
𩋅	tà	tà
𩋆	qiān	qiān
𩋈	nào	nào
𩋉	yù	yù
𩋊	è	è
𩋋	jiān	jiān
𩋌	yì	yì
𩋍	xiāo	xiāo
𩋏	niè	niè
𩋒	bīng	bīng
𩋗	guǒ	guǒ
𩋘	xié	xié
𩋙	diào	diào
𩋜	jū	jū
𩋝	suǒ	suǒ
𩋞	dié	dié
𩋟	fú	fù|fú
𩋠	miǎn	miǎn
𩋡	shì	shì
𩋢	xuàn	xuàn|yùn
𩋣	tí	tí
𩋤	yù	yù
𩋧	xié	kài|xié
𩋨	fú	fú
𩋩	zhì	zhì
𩋪	nǐ	nǐ
𩋫	xuàn	xuàn
𩋬	yáng	yáng
𩋮	fěng	bāng|fěng
𩋯	zòng	zòng
𩋰	zhòu	zhòu
𩋱	xuān	xuān
𩋵	zhū	zhū
𩋷	la	la
𩋹	yìng	yìng
𩋺	gào	gào
𩋻	kuò	kuò
𩋽	é	é
𩋾	wéi	wéi|wěi|xuē
𩋿	méi	méi
𩌃	huái	guì|huái
𩌄	chǒu	chǒu|zhōu
𩌆	suǒ	suǒ
𩌇	tà	tà
𩌈	suǒ	suǒ
𩌉	tà	tà
𩌊	xuè	xuè
𩌌	gǒng	gǒng
𩌍	jiǎ	jiǎ
𩌏	bó	bó|bù|fù|fú
𩌐	tà	tà
𩌑	yuǎn	yuǎn
𩌘	tà	tà
𩌝	chuí	chuí
𩌠	xiōng	xiōng
𩌡	hé	hé|juē
𩌢	suō	suō
𩌧	mò	mò
𩌨	chóng	chóng
𩌩	suī	suī
𩌪	zé	zé
𩌫	lù	lù
𩌬	zhāng	zhāng
𩌭	luò	luò
𩌮	xù	xù
𩌯	jiān	jiān
𩌰	shān	shān
𩌲	xù	xù
𩌾	jiǎng	jiǎng
𩍂	bào	bào
𩍃	mái	mái
𩍅	tóng	tóng
𩍆	xì	xì
𩍉	róng	róng
𩍋	shéng	shéng
𩍌	zhòu	zhòu
𩍎	jiān	jiān
𩍏	fù	fù
𩍐	dèng	dèng
𩍓	yōng	yōng
𩍔	jū	jū|qū
𩍖	yì	yì
𩍗	bāng	bāng
𩍙	sè	sè
𩍚	suì	suì
𩍜	duó	duó
𩍝	xiè	xiè
𩍡	huán	huán
𩍥	rǔ	rǔ
𩍦	nǐ	nǐ
𩍧	zhòu	zhòu
𩍨	guì	guì
𩍪	luò	luò
𩍲	zhī	chàn|zhī
𩍳	xù	xù
𩍵	zhī	zhī
𩍷	jué	jué
𩍸	jū	jū
𩍻	yuán	yuán
𩍼	lú	lú
𩍿	bó	bó|fù
𩎂	róng	róng
𩎃	xiè	xiè
𩎉	xǐ	xǐ
𩎊	luó	luó
𩎎	gé	gé
𩎑	zuān	zuān
𩎒	hàn	hàn|jiān
𩎔	jiāo	jiāo
𩎕	sǎ	sǎ
𩎖	qín	qián|qín
𩎗	qūn	qūn
𩎘	páo	páo
𩎙	yuè	yuè
𩎚	chè	chè
𩎛	fú	fú
𩎜	pēi	pēi
𩎟	mèi	mèi|mò|wà
𩎢	tāo	tāo
𩎤	kēn	kēn
𩎥	xì	xì
𩎫	duò	duò
𩎭	yì	yì
𩎰	suì	suì
𩎲	xiá	xiá
𩎳	juān	juān
𩎵	wéi	wéi
𩎷	yì	yì
𩎹	yù	yù
𩎻	bài	bài
𩎼	tuó	tuó
𩎽	tà	tà
𩎾	páo	páo
𩏂	bǐng	bì|bǐng
𩏅	yùn	yùn
𩏆	yùn	yùn
𩏇	duàn	duàn
𩏈	ruǎn	ruǎn
𩏉	wéi	wéi
𩏏	wéi	wéi
𩏐	guì	guì|wěi
𩏒	dá	dá
𩏓	xiá	xiá
𩏖	hùn	hùn
𩏗	juǎn	juǎn
𩏘	suī	suī
𩏚	suì	suì
𩏝	lóu	lóu
𩏞	bài	bài
𩏟	yù	yù
𩏠	zhèng	zhèng
𩏡	guì	guì
𩏣	kuī	kuī
𩏤	gāo	gāo
𩏥	dān	dān
𩏩	xiǎn	xiǎn
𩏪	zhái	zhái
𩏫	sè	sè
𩏭	kē	kē
𩏮	bǔ	bǔ
𩏯	bó	bó
𩏲	suì	suì
𩏴	yù	yù
𩏵	bǔ	bù|bǔ
𩏶	jiū	jiū
𩏷	jiū	jiào|jiū
𩏹	juàn	juàn
𩏺	jué	jué
𩏼	nà	nà
𩏽	zhái	zhái
𩏾	tāo	tāo
𩏿	wěi	wěi
𩐀	xiá	xiá
𩐁	xiè	xiè
𩐅	sà	sà
𩐆	jī	jī
𩐉	xiè	xiè
𩐌	duì	duì
𩐍	zǐ	zǐ
𩐘	yuǎn	yuǎn
𩐙	qìn	qìn
𩐚	fú	fú
𩐛	péng	péng
𩐜	páo	páo
𩐞	yìn	yìn
𩐠	hōng	hōng
𩐡	zú	zú
𩐣	gōng	gōng
𩐤	dòng	dòng
𩐥	hē	hē
𩐦	wò	wò
𩐨	pāng	pāng
𩐫	sù	sù
𩐬	kǎn	kǎn
𩐭	niè	niè
𩐮	háo	háo
𩐯	fèng	fèng
𩐰	è	è
𩐱	yè	yè
𩐴	tíng	tíng
𩐵	dòng	dòng
𩐶	zhé	zhé
𩐷	sāng	sāng
𩐻	mò	mò
𩐼	sù	sù
𩐾	lè	lè
𩑀	pǔ	pǔ
𩑁	é	é
𩑂	zhuó	zhuó
𩑃	yè	yè
𩑇	xiāng	xiāng
𩑈	guàng	guàng
𩑉	rěn	rěn
𩑊	líng	líng
𩑍	ào	ào
𩑐	chāi	chāi
𩑒	duó	duó
𩑓	qióng	qióng
𩑔	kū	kū|yà
𩑕	xū	xū
𩑖	huán	huán
𩑗	yāo	yāo
𩑘	zhèn	zhèn
𩑙	tǐng	tǐng
𩑚	běng	běng|lèi
𩑝	áng	áng
𩑟	kān	kān|qiān
𩑡	kū	gěn|kū
𩑢	péi	bāi|péi
𩑣	yòu	yòu
𩑤	ǎo	ǎo
𩑥	mén	mén
𩑦	mò	mò
𩑬	fǔ	fǔ|guī
𩑭	qīng	qīng
𩑮	là	là
𩑯	dǒu	dǒu
𩑰	tǎn	tǎn
𩑳	qiǎn	qiǎn
𩑴	yào	yào
𩑵	wèi	wèi
𩑶	hú	hú|kū
𩑷	mò	mò
𩑸	hē	hē
𩑹	xuàn	xuàn
𩑻	bì	bì|pó
𩑼	pō	pō
𩑾	dī	dī
𩒀	zhěn	zhěn
𩒂	shī	shī
𩒃	kǎn	kǎn
𩒄	cè	cè
𩒇	xū	xū
𩒈	zhěn	zhěn
𩒊	zhǔ	zhǔ
𩒏	huì	huì
𩒐	chǐ	chǐ
𩒓	hǒng	hǒng
𩒔	nóu	nóu
𩒕	niè	niè|pò|è
𩒖	yàn	yàn
𩒘	chǒng	chǒng
𩒙	fǔ	fǔ|guì
𩒚	guāng	guāng
𩒛	qī	qī
𩒝	gěn	gěn
𩒞	tǐng	tǐng
𩒢	tǎn	tǎn
𩒣	qiǎn	qiǎn
𩒦	jiù	jiù|xìn
𩒧	xū	xū
𩒨	qǐ	qǐ
𩒪	zhèn	zhèn
𩒮	qiú	qiú
𩒰	ě	ě
𩒳	huì	huì
𩒴	hòng	hòng
𩒵	qǐng	qǐng
𩒷	chē	chē|rǒng
𩒺	fù	fù
𩒼	hōng	hōng
𩒽	xī	xī
𩒾	wú	wú
𩒿	máng	máng
𩓂	tī	tī
𩓅	hōng	hōng
𩓐	bó	bó
𩓒	qǐn	qǐn
𩓓	gěn	gěn
𩓖	fú	fú
𩓗	kuǐ	kuǐ
𩓝	bié	bié
𩓞	jìng	jìng
𩓟	kǎn	kǎn
𩓠	guī	guī
𩓢	gǎo	gǎo
𩓣	xū	xū
𩓤	àn	àn
𩓥	yuè	yuè
𩓦	wù	wù
𩓧	yí	yí
𩓨	jīng	jīng
𩓪	lù	lù
𩓫	quán	quán
𩓬	tuí	tuí
𩓮	jì	jì
𩓺	jiǒng	jiǒng
𩓻	jué	jué
𩓼	piē	piē
𩓽	kūn	kūn
𩔀	wài	wài
𩔁	huì	huì
𩔂	dùn	dùn
𩔃	yuǎn	yuǎn
𩔄	jié	jié
𩔆	guì	guì
𩔇	gǎo	gǎo
𩔈	pò	pò
𩔉	mén	hūn|mén|mín
𩔊	zhuàn	zhuàn
𩔋	hàng	hàng
𩔔	yóng	yóng
𩔕	qiú	qiú
𩔗	lèi	lèi
𩔘	áng	áng
𩔙	pǐ	pǐ|xìn
𩔚	wēng	wēng|wěng
𩔝	qìn	qìn
𩔟	qǐn	qǐn
𩔠	miè	miè
𩔡	dōu	dōu
𩔢	mí	mí
𩔣	zhān	zhān
𩔥	qǐng	qǐng
𩔦	yí	yí
𩔮	bān	bān
𩔱	juān	juān
𩔳	zé	zé
𩔴	xù	xù
𩔵	lán	lán
𩔶	má	má
𩔷	má	má
𩔸	ōu	ōu
𩔹	bēi	bēi
𩔻	póu	póu
𩔼	xù	xù
𩕀	ào	ào
𩕆	hǒng	hǒng
𩕉	hǒng	hǒng
𩕊	zhǎn	zhǎn
𩕌	sěn	sěn
𩕍	gǎo	gǎo|háo
𩕏	pó	fán|pó
𩕐	liào	liào
𩕕	wài	wài
𩕖	xuān	xuān
𩕜	kuí	kuí
𩕟	è	è
𩕠	hàn	hàn
𩕡	sè	sè
𩕤	dàn	dàn
𩕪	xuān	xuān
𩕬	è	è
𩕭	gài	gài
𩕯	dāo	dāo
𩕱	měng	měng
𩕲	yī	yī
𩕳	nǐng	nǐng
𩕵	pín	pín
𩕹	cāng	cāng
𩕾	yuàn	yuàn
𩖀	è	è
𩖁	niè	niè|yá
𩖄	yǐn	yǐn
𩖇	qiāo	qiāo
𩖉	hōng	hōng
𩖊	líng	líng
𩖌	chān	chān
𩖍	yǐng	yǐng
𩖒	guān	guān
𩖔	niǎo	niǎo
𩖕	xū	xū
𩖖	tán	tán
𩖗	jìn	jìn
𩖛	péng	péng
𩖝	liáo	liáo
𩖠	bèi	bèi
𩖣	xín	bá|xín
𩖤	tún	tún
𩖥	chāo	chāo
𩖦	gān	gān
𩖨	hū	hū
𩖩	wǎng	wǎng
𩖬	fú	fú
𩖭	pèi	pèi
𩖯	náo	náo
𩖰	xún	xín|xún
𩖱	xuè	xuè
𩖴	liǔ	liǔ
𩖵	líng	líng
𩖶	xuè	xuè
𩖷	qū	qū
𩖸	háo	háo
𩖹	yí	yí
𩖺	hàn	hàn
𩖼	fú	fú
𩖽	bá	bá
𩖾	yí	yí
𩗀	bó	bó
𩗄	hōng	hōng
𩗅	lì	lì
𩗉	sà	sà
𩗊	xī	xī
𩗎	shì	shì
𩗏	piāo	piāo
𩗐	huà	huà
𩗑	yí	yí
𩗒	bó	bó
𩗓	bó	bó
𩗔	něi	něi
𩗕	qiú	qiú
𩗘	wěi	wěi
𩗙	chè	chè
𩗚	yóu	yóu
𩗜	wèi	wèi
𩗝	huǐ	huǐ
𩗞	sà	sà
𩗡	chóu	chóu
𩗢	hòng	hòng
𩗣	sōu	sōu
𩗤	hàn	hàn
𩗥	páo	páo
𩗧	fáng	fáng
𩗩	liú	liú
𩗪	zhòu	zhòu
𩗫	pí	pí
𩗭	lì	lì
𩗰	chuí	chuí
𩗱	xī	xī
𩗲	zhēng	zhēng
𩗴	bèng	bèng
𩗵	zhēng	zhēng
𩗶	suì	suì
𩗷	yǎn	yǎn
𩗼	qīng	qīng
𩗽	wù	wù
𩗾	liǎng	liǎng
𩘀	zhào	zhào
𩘁	liáng	liáng
𩘅	jiē	jiē
𩘇	hōng	hōng
𩘈	yōu	yōu
𩘊	là	là
𩘋	hòu	hòu
𩘍	yuàn	yuàn
𩘎	hóng	hóng
𩘏	yè	yè
𩘑	yǐng	yīng|yǐng
𩘒	xuǎn	juān|xuǎn
𩘓	yóu	yóu
𩘘	quán	quán
𩘜	táng	táng
𩘝	suǒ	suǒ
𩘟	lì	lì
𩘠	sōu	sōu
𩘡	lì	lì
𩘤	yù	yù
𩘧	yì	yì
𩘭	xiū	xiū
𩘮	áo	áo
𩘯	tuán	tuán
𩘰	sù	sù
𩘱	shuài	shuài
𩘳	yù	yù
𩘵	fēng	fēng
𩘹	sù	sù
𩘺	tuí	tuí
𩘻	yù	yù
𩘼	zhēng	zhēng
𩘽	zhēng	zhēng
𩘿	táo	táo
𩙄	liú	liú
𩙆	chéng	chéng
𩙇	suí	suí
𩙈	sāo	sāo
𩙏	gǔ	gǔ
𩙐	fēng	fēng
𩙑	liè	liè
𩙒	piāo	piào|piāo
𩙖	lì	lì
𩙘	lóng	lóng
𩙙	chū	chū
𩙚	xiāo	xiāo
𩙛	hōng	hōng
𩙜	xiè	xiè
𩙝	shè	shè
𩙠	lóng	lóng
𩙡	hōu	hōu
𩙢	xuán	shī|xuán
𩙣	fēng	fēng
𩙥	bá	bá
𩙦	bó	bó
𩙧	táo	táo
𩙨	sù	sù
𩙩	zhào	zhào
𩙪	biāo	biāo
𩙫	sōu	sōu
𩙬	tuí	tuí
𩙭	suǒ	suǒ
𩙮	xiāo	xiāo
𩙯	héng	héng
𩙰	sāo	sāo
𩙲	fēi	fēi
𩙷	niù	niù
𩙸	mǎng	mǎng
𩙽	huán	huán|xuān
𩙾	zhī	zhī
𩚂	yì	yì
𩚄	yù	yù
𩚇	yí	yí
𩚈	yuē	yuē
𩚉	chí	chí
𩚕	yǐn	qiāng|yǐn
𩚖	niù	niù
𩚗	rǒng	rǒng
𩚛	nà	nà
𩚣	tián	tián
𩚥	bā	bā
𩚪	ěr	ěr
𩚫	zhēng	zhēng
𩚬	è	è
𩚭	póu	póu
𩚮	jī	jī|nì
𩚯	ní	ní
𩚱	jiǒng	jiǒng
𩚲	jiá	jiá
𩚵	gān	gān
𩚹	líng	líng
𩚻	zuì	zuì
𩚾	bèi	bèi
𩛅	shū	shū
𩛆	yǐ	yǐ
𩛇	pāi	pāi
𩛋	nǎo	nǎo
𩛌	shì	shì
𩛎	mǎn	mǎn
𩛏	shì	shì
𩛑	tí	tí
𩛘	gōng	gōng
𩛝	lèi	lèi
𩛞	bǎo	bǎo|něi|piǎo
𩛟	yuān	mán|yuān
𩛠	zuō	zuō
𩛡	láng	láng|náng
𩛢	xiū	xiū
𩛥	zài	zài
𩛦	chèng	chèng
𩛧	jiān	jiān
𩛨	mào	mào
𩛩	jiá	jiá
𩛪	yù	yù
𩛭	yù	yù
𩛮	yí	yí
𩛲	māng	māng
𩛳	zài	cān|zài
𩛵	zhuì	zhuì
𩛶	tí	tí
𩛹	xì	xì
𩛺	jú	jú
𩛻	zàn	zhān|zuǎn|zàn
𩛼	lù	lù
𩛽	táo	táo
𩜀	zhuì	duī|zhuì
𩜁	líng	líng
𩜃	jù	jù
𩜆	jī	jī
𩜇	juǎn	juàn|juǎn
𩜊	zī	zī
𩜌	yuē	yuē
𩜍	dōng	dōng
𩜒	nǎng	nǎng
𩜖	chóng	chóng
𩜟	àng	àng
𩜣	gēng	gēng
𩜥	bō	bō
𩜦	dìng	dìng
𩜧	wěi	wěi
𩜬	quán	quán
𩜭	kē	kē
𩜰	pì	pì
