# form	reading	naive	authority	note
頄	qiú	kuí	cc-cedict	cheekbone
顢	mān	mán	cc-cedict	dawdling
顣	qī	cù	cc-cedict	frown
颾	sāo	sōu	cc-cedict	blowing of the wind
飂	liáo	liù	cc-cedict	wind in high places
餔	bū	bù	cc-cedict	to eat/evening meal
餳	xíng	táng	cc-cedict	maltose syrup/molasses/heavy (eyelids)/drowsy-eyed/listless/(of dough, candy etc) to soften/to become soft and sticky
馣	yǎn	ān	cc-cedict	fragrant odor
馲	tuō	zhé	cc-cedict	camel/Taiwan pr. [luo4]
馴	xùn	xún	cc-cedict	to attain gradually/to tame/Taiwan pr. [xun2]
駃	kuài	jué	cc-cedict	(literary) fast horse/(literary) fast (variant of 快[kuai4])
駗	zhēn	zhěn	cc-cedict	chatter mark
駴	xiè	hài	cc-cedict	thunderous beating of drums
駽	xuàn	xuān	cc-cedict	gray
驃	piào	biāo	cc-cedict	white horse
驏	chǎn	zhàn	cc-cedict	(literary) to ride a horse without a saddle
骱	xiè	jiè	cc-cedict	joint of bones
髈	pǎng	bǎng	cc-cedict	(dialect) thigh
髲	pì	bì	cc-cedict	a wig
鬋	jiān	jiǎn	cc-cedict	to hang down (hair)
鬗	màn	mán	cc-cedict	head ornaments/pretty hair
鬠	kuài	kuò	cc-cedict	to make a top knot
鬵	qián	qín	cc-cedict	big iron pot/cauldron/variant of 甑[zeng4], rice pot
魣	yú	xù	cc-cedict	perch
魬	fǎn	bǎn	cc-cedict	sole or flounder
鮁	bà	bō	cc-cedict	(bound form) Spanish mackerel
鮆	jì	cǐ	cc-cedict	(fish)
鮊	bó	bà	cc-cedict	culter, a generic term for cyprinid fish of genera Culter and Erythroculter
鮨	qí	yì	cc-cedict	sushi/grouper (Portuguese: garoupa)/Epinephelus septemfasciatus
鯆	fǔ	pū	cc-cedict	the skate or ray
鯈	chóu	tiáo	cc-cedict	Leuciscus macropus
鯡	fēi	fèi	cc-cedict	Pacific herring
鯽	jì	zéi	cc-cedict	bastard carp/sand perch
鰜	jiān	qiàn	cc-cedict	flounder/flatfish
鳻	fēn	bān	cc-cedict	the wild pigeon
鳽	yán	jiān	cc-cedict	(used in naming bitterns and several other species of heron)/also pr. [jian1]
鴄	pī	pǐ	cc-cedict	wild duck
鵀	rèn	rén	cc-cedict	hoopoe
鵫	zhào	zhuó	cc-cedict	pheasant
鶻	hú	gú	cc-cedict	falcon/migratory bird
鷏	zhēn	tián	cc-cedict	bird name
鸒	yú	yù	cc-cedict	the eastern jackdaw
麌	wú	yǔ	cc-cedict	stag/herd
黕	zhěn	dǎn	cc-cedict	red
黦	yù	yuè	cc-cedict	yellowish black
黮	tán	dǎn	cc-cedict	black, dark/unclear/private
齈	nóng	nòng	cc-cedict	cold in the head catarrh of the nose
齜	zī	chái	cc-cedict	to bare (one's teeth)
齞	niàn	yǎn	cc-cedict	to display the teeth
齦	yín	kěn	cc-cedict	gums (of the teeth)
龡	chuì	chuī	cc-cedict	to blow (a flute)/archaic version of 吹
一匙	yī chí	yī shi	cc-cedict	spoonful
一宿	yī xiǔ	yī sù	cc-cedict	one whole night; all night
一打	yī dá	yī dǎ	cc-cedict	dozen
一更	yī gēng	yī gèng	cc-cedict	first of the five night watch periods 19:00-21:00 (old)
丁丁	zhēng zhēng	dīng dīng	cc-cedict	sound of chopping wood, chess pieces hitting the board etc
万俟	mò qí	wàn qí	cc-cedict	two-character surname Moqi
丈量	zhàng liáng	zhàng liàng	cc-cedict	to measure/measurement
三更	sān gēng	sān gèng	cc-cedict	third of the five night watch periods 23:00-01:00 (old)/midnight/also pr. [san1 jin1]
三藏	sān zàng	sān cáng	cc-cedict-buddhist	Tripitaka, the three main types of text that collectively constitute the Buddhist canon of scriptures: sutras, commandme
三都	sān dū	sān dōu	cc-cedict	see 三都水族自治縣|三都水族自治县[San1 du1 Shui3 zu2 Zi4 zhi4 xian4]
三重	sān chóng	sān zhòng	cc-cedict	Sanchong, a district of New Taipei City 新北市[Xin1 bei3 Shi4], Taiwan/Mie (prefecture in Japan)
三重	sān chóng	sān zhòng	cc-cedict	treble
上供	shàng gòng	shàng gōng	cc-cedict	to make offerings (to gods or ancestors)/to offer gifts to superiors in order to win their favor
上將	shàng jiàng	shàng jiāng	cc-cedict	general/admiral/air chief marshal
上當	shàng dàng	shàng dāng	cc-cedict	taken in (by sb's deceit)/to be fooled/to be duped
上相	shàng xiàng	shàng xiāng	cc-cedict	photogenic/(old) high official
上聲	shǎng shēng	shàng shēng	cc-cedict	falling and rising tone/third tone in modern Mandarin
上色	shàng shǎi	shàng sè	cc-cedict	to color (a picture etc)/to dye (fabric etc)/to stain (furniture etc)
上調	shàng tiáo	shàng diào	cc-cedict	to raise (prices)/to adjust upwards
上載	shàng zǎi	shàng zài	cc-cedict	to upload/also pr. [shang4zai4]
上都	shàng dū	shàng dōu	cc-cedict	Shangdu, also known as Xanadu, summer capital of the Yuan Dynasty (1279-1368)
下咽	xià yān	xià yàn	cc-cedict	(anatomy) hypopharynx
下地	xià dì	xià de	cc-cedict	to go down to the fields/to get up from bed/to leave one's sickbed/to be born
下調	xià tiáo	xià diào	cc-cedict	to adjust downwards/to lower (prices, wages etc)
下載	xià zǎi	xià zài	cc-cedict	to download/also pr. [xia4zai4]
下頦	xià kē	xià hái	cc-cedict	chin/Taiwan pr. [xia4hai2]
不了	bù liǎo	bù le	cc-cedict	(as a resultative verb suffix) unable to (do sth)/(pattern: {verb} + 個|个[ge5] + ~) without end; incessantly
不兒	bú r	bù ér	cc-cedict	(coll.) no (contracted form of 不是[bu4 shi4])
不匱	bù kuì	bù guì	cc-cedict	(literary) to never have a deficiency; to never be lacking
不差	bù chā	bù chà	cc-cedict	to not lack
不當	bù dàng	bù dāng	cc-cedict	unsuitable; improper; inappropriate
不盡	bù jìn	bù jǐn	cc-cedict	not completely/endlessly
不禁	bù jīn	bù jìn	cc-cedict	can't help (doing sth)/can't refrain from
不興	bù xīng	bù xìng	cc-cedict	out of fashion/outmoded/impermissible/can't
不菲	bù fěi	bù fēi	cc-cedict	considerable (cost etc)/bountiful (crop etc)/high (social status etc)
不著	bù zháo	bù zhù	cc-cedict	no need/need not
丑角	chǒu jué	chǒu jiǎo	cc-cedict	clown role in opera/clown/buffoon
世相	shì xiàng	shì xiāng	cc-cedict	the ways of the world
世行	shì háng	shì xíng	cc-cedict	World Bank (abbr. for 世界銀行|世界银行[Shi4 jie4 Yin2 hang2])
丞相	chéng xiàng	chéng xiāng	cc-cedict	the most senior minister of many kingdoms or dynasties (with varying roles)/prime minister
並處	bìng chǔ	bìng chù	cc-cedict	to impose an additional penalty
丫杈	yā chà	yā chā	cc-cedict	fork (of a tree)/tool made of forked wood
中伏	zhòng fú	zhōng fú	cc-cedict	to be ambushed
中傷	zhòng shāng	zhōng shāng	cc-cedict	to slander; to defame/to get hit (by a bullet); to be wounded
中將	zhōng jiàng	zhōng jiāng	cc-cedict	lieutenant general; vice admiral; air marshal
中式	zhòng shì	zhōng shì	cc-cedict	to pass the imperial examinations
中彈	zhòng dàn	zhōng dàn	cc-cedict	to get hit by a bullet; to get shot
中彩	zhòng cǎi	zhōng cǎi	cc-cedict	to win a prize at a lottery
中意	zhòng yì	zhōng yì	cc-cedict	to take one's fancy; to be to one's liking
中招	zhòng zhāo	zhōng zhāo	cc-cedict	(martial arts) to get hit; to get taken down/(fig.) to get infected (disease or computer virus)/(fig.) to fall for sb's 
中暑	zhòng shǔ	zhōng shǔ	cc-cedict	to suffer heat exhaustion/sunstroke; heatstroke
中槍	zhòng qiāng	zhōng qiāng	cc-cedict	to be hit by a gun/shot
中標	zhòng biāo	zhōng biāo	cc-cedict	to win a tender; to win a bid
中毒	zhòng dú	zhōng dú	cc-cedict	to be poisoned
中牟	zhōng mù	zhōng móu	cc-cedict	see 中牟縣|中牟县[Zhong1 mu4 Xian4]
中獎	zhòng jiǎng	zhōng jiǎng	cc-cedict	to win a prize (in a lottery etc)
中的	zhòng dì	zhōng de	cc-cedict	to hit the target/(fig.) to hit the nail on the head
中簽	zhòng qiān	zhōng qiān	cc-cedict	to win a ballot; to draw a lucky number
中肯	zhòng kěn	zhōng kěn	cc-cedict	pertinent; apropos
中興	zhōng xīng	zhōng xìng	cc-cedict	resurgence/recovery/restoration
中舉	zhòng jǔ	zhōng jǔ	cc-cedict	to pass the provincial level imperial examination
中行	zhōng háng	zhōng xíng	cc-cedict	abbr. for 中國銀行|中国银行[Zhong1 guo2 Yin2 hang2]
中計	zhòng jì	zhōng jì	cc-cedict	to fall into a trap; to be taken in
中試	zhòng shì	zhōng shì	cc-cedict	to pass a test
中選	zhòng xuǎn	zhōng xuǎn	cc-cedict	to be chosen; to be selected
中邪	zhòng xié	zhōng xié	cc-cedict	to be possessed; to be bewitched
中都	zhōng dū	zhōng dōu	cc-cedict	Zhongdu, capital of China during the Jin Dynasty (1115-1234), modern day Beijing
中風	zhòng fēng	zhōng fēng	cc-cedict	to suffer a paralyzing stroke
中魔	zhòng mó	zhōng mó	cc-cedict	to be possessed; to be bewitched
串供	chuàn gòng	chuàn gōng	cc-cedict	to collude to fabricate a story
串行	chuàn háng	chuàn xíng	cc-cedict	to miss a line/to confuse two lines
丹佛	dān fó	dān fú	cc-cedict	Denver, Colorado
丹參	dān shēn	dān cān	cc-cedict	(botany) red sage (Salvia miltiorrhiza)
丹稜	dān líng	dān léng	cc-cedict	see 丹稜縣|丹棱县[Dan1 ling2 Xian4]
主將	zhǔ jiàng	zhǔ jiāng	cc-cedict	commander-in-chief (military)/star player (sports)/key figure (in an organization)
主角	zhǔ jué	zhǔ jiǎo	cc-cedict	leading role; lead/protagonist
久長	jiǔ cháng	jiǔ zhǎng	cc-cedict	a long time
么二	yāo èr	me èr	cc-cedict	one-two or ace-deuce (smallest throw at dice)/a prostitute
么兒	yāo ér	me ér	cc-cedict	(coll.) youngest son
么女	yāo nǚ	me nǚ	cc-cedict	(coll.) youngest daughter
么雞	yāo jī	me jī	cc-cedict	(mahjong) bird tile; one bam
么點	yāo diǎn	me diǎn	cc-cedict	ace
乳暈	rǔ yùn	rǔ yūn	cc-cedict	mammary areola
乾俸	gān fèng	qián fèng	cc-cedict	income provided by a sinecure
乾兒	gān ér	qián ér	cc-cedict	adopted son (traditional adoption, i.e. without legal ramifications)
乾兒	gān r	qián ér	cc-cedict	dried food
乾冰	gān bīng	qián bīng	cc-cedict	dry ice (i.e. frozen CO2)/CL:塊|块[kuai4]
乾咳	gān ké	qián hāi	cc-cedict	to cough without phlegm/a dry cough
乾嘔	gān ǒu	qián ǒu	cc-cedict	to retch
乾嚎	gān háo	qián háo	cc-cedict	to cry out loud without tears
乾娘	gān niáng	qián niáng	cc-cedict	adoptive mother (traditional adoption, i.e. without legal ramifications)
乾媽	gān mā	qián mā	cc-cedict	adoptive mother (traditional adoption, i.e. without legal ramifications)
乾屍	gān shī	qián shī	cc-cedict	desiccated corpse; mummified body
乾旱	gān hàn	qián hàn	cc-cedict	drought/(of land, climate etc) arid; dry
乾杯	gān bēi	qián bēi	cc-cedict	to drink a toast/Cheers! (proposing a toast)/Here's to you!/Bottoms up!/lit. dry cup
乾果	gān guǒ	qián guǒ	cc-cedict	dried fruit/dry fruits (nuts etc)
乾枯	gān kū	qián kū	cc-cedict	withered; shriveled; dried-up
乾洗	gān xǐ	qián xǐ	cc-cedict	to dry clean/dry cleaning
乾涸	gān hé	qián hé	cc-cedict	to dry up
乾淨	gān jìng	qián jìng	cc-cedict	clean/neat
乾渴	gān kě	qián kě	cc-cedict	parched/dry mouth
乾潮	gān cháo	qián cháo	cc-cedict	low tide/low water
乾澀	gān sè	qián sè	cc-cedict	dry and rough (skin)/hoarse (voice)/dry and heavy (style)
乾煸	gān biān	qián biān	cc-cedict	to stir-fry with oil only (no addition of water)
乾燥	gān zào	qián zào	cc-cedict	(of weather, climate, soil etc) dry; arid/(of skin, mouth etc) dry/(fig.) dull; dry; boring/(of timber etc) to dry out; 
乾爹	gān diē	qián diē	cc-cedict	adoptive father (traditional adoption, i.e. without legal ramifications)
乾爽	gān shuǎng	qián shuǎng	cc-cedict	dry and clean/clear and fresh
乾瘦	gān shòu	qián shòu	cc-cedict	wizened/skinny and shriveled
乾癟	gān biě	qián biě	cc-cedict	dried out/wizened/shriveled
乾癬	gān xuǎn	qián xuǎn	cc-cedict	psoriasis
乾笑	gān xiào	qián xiào	cc-cedict	to give a hollow laugh/to force a smile/forced laugh/CL:聲|声[sheng1]
乾等	gān děng	qián děng	cc-cedict	to wait in vain; to sit around waiting
乾粉	gān fěn	qián fěn	cc-cedict	dry powder
乾糧	gān liáng	qián liáng	cc-cedict	rations (to take on expedition)
乾脆	gān cuì	qián cuì	cc-cedict	candid/direct and to the point/simply/just/might as well
乾草	gān cǎo	qián cǎo	cc-cedict	hay
乾菜	gān cài	qián cài	cc-cedict	dried vegetable
乾葉	gān yè	qián yè	cc-cedict	dried leaf
乾薑	gān jiāng	qián jiāng	cc-cedict	dried ginger
乾號	gān háo	qián hào	cc-cedict	to cry out loud without tears
乾衣	gān yī	qián yī	cc-cedict	drysuit (diving)
乾裂	gān liè	qián liè	cc-cedict	(of dry soil etc) to crack; (of skin) to chap
乾貝	gān bèi	qián bèi	cc-cedict	conpoy; dried scallop (dried adductor muscle of a scallop)
乾貨	gān huò	qián huò	cc-cedict	dried food (including dried fruits, mushrooms and seafoods such as shrimp and abalone)/(fig.) (coll.) knowledge presente
乾透	gān tòu	qián tòu	cc-cedict	to dry out/to dry completely
乾酪	gān lào	qián lào	cc-cedict	cheese
乾鍋	gān guō	qián guō	cc-cedict	dry pot, a type of dish in which ingredients are wok-fried, then served hot in a clay pot or on a metal pan
乾飯	gān fàn	qián fàn	cc-cedict	plain cooked rice (as opposed to rice porridge)
乾餾	gān liú	qián liù	cc-cedict	to carbonize/dry distillation/carbonization
乾麵	gān miàn	qián miàn	cc-cedict	noodles mixed with a sauce and served with toppings (not in a soup)/(dialect) flour
了了	liǎo liǎo	le le	cc-cedict	to realize clearly/to settle a matter/to get it over with
了事	liǎo shì	le shì	cc-cedict	to dispose of a matter/to be done with it
了債	liǎo zhài	le zhài	cc-cedict	to repay one's debt
了卻	liǎo què	le què	cc-cedict	to resolve/to settle
了局	liǎo jú	le jú	cc-cedict	end/conclusion/solution
了得	liǎo de	le dé	cc-cedict	exceptional/outstanding/dreadful/appalling
了斷	liǎo duàn	le duàn	cc-cedict	to bring to a conclusion; to resolve (a dispute etc); to put an end to (once and for all); to break off (a relationship)
了無	liǎo wú	le wú	cc-cedict	to completely lack; to have not even the slightest
了然	liǎo rán	le rán	cc-cedict	to understand clearly; evident
了當	liǎo dàng	le dāng	cc-cedict	frank; outspoken/ready; settled; in order/(old) to deal with; to handle
了知	liǎo zhī	le zhī	cc-cedict-buddhist	(Buddhism) to fully understand/to understand completely
了結	liǎo jié	le jié	cc-cedict	to settle/to finish/to conclude/to wind up
了解	liǎo jiě	le jiě	cc-cedict	to understand; to know about/to learn about; to find out
事假	shì jià	shì jiǎ	cc-cedict	leave of absence for a personal matter
事兒	shì r	shì ér	cc-cedict	one's employment/business/matter that needs to be settled/(northern dialect) (of a person) demanding/trying/troublesome/
二更	èr gēng	èr gèng	cc-cedict	second of the five night watch periods 21:00-23:00 (old)
二重	èr chóng	èr zhòng	cc-cedict	double/repeated twice
于都	yú dū	yú dōu	cc-cedict	see 于都縣|于都县[Yu2 du1 Xian4]
五更	wǔ gēng	wǔ gèng	cc-cedict	fifth of the five night watch periods 03:00-05:00 (old)
交卷	jiāo juàn	jiāo juǎn	cc-cedict	to hand in one's examination script
交差	jiāo chāi	jiāo chà	cc-cedict	to report back after completion of one's mission
交惡	jiāo wù	jiāo è	cc-cedict	to become enemies; to become hostile towards each other
交還	jiāo huán	jiāo hái	cc-cedict	to return sth/to hand back
京都	jīng dū	jīng dōu	cc-cedict	Kyoto (city in Japan)
京都	jīng dū	jīng dōu	cc-cedict	capital (of a country)
亮相	liàng xiàng	liàng xiāng	cc-cedict	to strike a pose (Chinese opera)/(fig.) to make a public appearance; to come out in public (revealing one's true persona
人兒	rén r	rén ér	cc-cedict	figurine
人參	rén shēn	rén cān	cc-cedict	ginseng
人為	rén wéi	rén wèi	cc-cedict	artificial/man-made/having human cause or origin/human attempt or effort
人相	rén xiàng	rén xiāng	cc-cedict	physiognomy
人行	rén háng	rén xíng	cc-cedict	People's Bank of China (abbr. for 中國人民銀行|中国人民银行[Zhong1 guo2 Ren2 min2 Yin2 hang2])
什器	shí qì	shén qì	cc-cedict	various kinds of everyday utensils
什菜	shí cài	shén cài	cc-cedict	mixed vegetables
什葉	shí yè	shén yè	cc-cedict	Shia (a movement in Islam)
什邡	shí fāng	shén fāng	cc-cedict	see 什邡市[Shi2 fang1 Shi4]
什錦	shí jǐn	shén jǐn	cc-cedict	(food) assorted/mixed/assortment
今兒	jīn r	jīn ér	cc-cedict	(coll.) today
今朝	jīn zhāo	jīn cháo	cc-cedict	(dialect) today/(literary) the present; this age
介殼	jiè qiào	jiè ké	cc-cedict	(zoology) shell
仔肩	zī jiān	zǐ jiān	cc-cedict	to bear responsibility for sth
仙樂	xiān yuè	xiān lè	cc-cedict	heavenly music
代為	dài wéi	dài wèi	cc-cedict	to do sth on behalf of sb else
令狐	líng hú	lìng hú	cc-cedict	old place name (in present-day Linyi County 臨猗縣|临猗县[Lin2 yi1 Xian4], Shanxi)/two-character surname Linghu
以為	yǐ wéi	yǐ wèi	cc-cedict	to think; to believe (often with the implication that the belief is mistaken – unless referring to one's own current bel
任丘	rén qiū	rèn qiū	cc-cedict	see 任丘市[Ren2 qiu1 Shi4]
任安	rén ān	rèn ān	cc-cedict	Ren An (-c. 90 BC), Han Dynasty general, also called Ren Shaoqing 任少卿
任澤	rén zé	rèn zé	cc-cedict	see 任澤區|任泽区[Ren2 ze2 Qu1]
份兒	fèn r	fèn ér	cc-cedict	degree/extent/allotted share
伄儅	diào dāng	diào dàng	cc-cedict	seldom/irregularly
伎倆	jì liǎng	jì liǎ	cc-cedict	trick; scheme; ploy/skill
伏地	fú dì	fú de	cc-cedict	to lie prostrate
休假	xiū jià	xiū jiǎ	cc-cedict	to go on vacation; to have a holiday; to take leave
伯顏	bà yán	bó yán	cc-cedict	Bayan of the Baarin (1236–1295), Mongol general under Kublai Khan who led the conquest of the Southern Song/Bayan of the
伸長	shēn cháng	shēn zhǎng	cc-cedict	to stretch; to extend
伺機	sì jī	cì jī	cc-cedict	to wait for an opportunity/to watch for one's chance
伺隙	sì xì	cì xì	cc-cedict	to wait for the opportunity
似地	shì de	sì de	cc-cedict	(used to form an adverbial phrase X + 似地[shi4 de5]) like (X); as if (X)/Taiwan pr. [si4de5]
似的	shì de	sì de	cc-cedict	seems as if/rather like/Taiwan pr. [si4 de5]
伽瑪	gā mǎ	jiā mǎ	cc-cedict	variant of 伽馬|伽马[ga1 ma3]
伽藍	qié lán	jiā lán	cc-cedict-buddhist	Buddhist temple (loanword from Sanskrit "samgharama")
伽馬	gā mǎ	jiā mǎ	cc-cedict	(loanword) gamma (Greek letter Γ, γ)
低地	dī dì	dī de	cc-cedict	lowland
住地	zhù dì	zhù de	cc-cedict	living area/residential area
住舍	zhù shè	zhù shě	cc-cedict	house/residence
何干	hé gān	hé gàn	cc-cedict	what business?
何為	hé wéi	hé wèi	cc-cedict	what is/(old) what for/(in a rhetorical question) it's no use
佛像	fó xiàng	fú xiàng	cc-cedict-buddhist	Buddhist image/statue of Buddha or Bodhisattva/CL:尊[zun1], 張|张[zhang1]
佛光	fó guāng	fú guāng	cc-cedict	Buddha's teachings/aura (around the head of Buddha)
佛典	fó diǎn	fú diǎn	cc-cedict-buddhist	Buddhist scriptures/Buddhist classics
佛坪	fó píng	fú píng	cc-cedict	see 佛坪縣|佛坪县[Fo2 ping2 Xian4]
佛塔	fó tǎ	fú tǎ	cc-cedict	pagoda
佛媛	fó yuán	fú yuàn	cc-cedict-buddhist	Buddhist griftress (female Internet influencer who exploits Buddhist imagery for self-promotion or commercial purposes)
佛學	fó xué	fú xué	cc-cedict-buddhist	Buddhist doctrine/Buddhist studies
佛家	fó jiā	fú jiā	cc-cedict-buddhist	Buddhism/Buddhist
佛寺	fó sì	fú sì	cc-cedict-buddhist	Buddhist temple
佛山	fó shān	fú shān	cc-cedict	see 佛山市[Fo2 shan1 Shi4]
佛岡	fó gāng	fú gāng	cc-cedict	see 佛岡縣|佛冈县[Fo2 gang1 Xian4]
佛州	fó zhōu	fú zhōu	cc-cedict	Florida (abbr. for 佛羅里達州|佛罗里达州[Fo2 luo2 li3 da2 Zhou1])
佛心	fó xīn	fú xīn	cc-cedict	Buddha-like heart (full of compassion)/spirit of Buddha (awakened to reality and no longer clinging to appearances)
佛性	fó xìng	fú xìng	cc-cedict	Buddha nature
佛愛	fó ài	fú ài	cc-cedict	phi (Greek letter Φ, φ)
佛手	fó shǒu	fú shǒu	cc-cedict	Buddha's hand; fingered citron (Citrus medica var. sarcodactylis)
佛教	fó jiào	fú jiào	cc-cedict-buddhist	Buddhism
佛書	fó shū	fú shū	cc-cedict-buddhist	Buddhist scripture
佛法	fó fǎ	fú fǎ	cc-cedict-buddhist	Dharma (the teachings of the Buddha)/Buddhist doctrine
佛爺	fó ye	fú yé	cc-cedict-buddhist	Buddha (term of respect for Sakyamuni 釋迦牟尼|释迦牟尼[Shi4 jia1 mou2 ni2])/His Holiness (refers to a Buddhist grandee)/Buddha/
佛牙	fó yá	fú yá	cc-cedict	Buddha's tooth (as a holy relic)
佛珠	fó zhū	fú zhū	cc-cedict-buddhist	Buddhist prayer beads
佛祖	fó zǔ	fú zǔ	cc-cedict-buddhist	Buddha/founder of a buddhist sect
佛系	fó xì	fú xì	cc-cedict	(neologism, attested by 2017) (coll.) chill about everything (typically used to describe young people who don't buy into
佛經	fó jīng	fú jīng	cc-cedict-buddhist	Buddhist texts; Buddhist scripture
佛號	fó hào	fú hào	cc-cedict	one of the many names of Buddha
佛語	fó yǔ	fú yǔ	cc-cedict-buddhist	Buddhist term
佛門	fó mén	fú mén	cc-cedict-buddhist	Buddhism
佛陀	fó tuó	fú tuó	cc-cedict	Buddha (a person who has attained Buddhahood, or specifically Siddhartha Gautama)
佛骨	fó gǔ	fú gǔ	cc-cedict	Buddha's bones (as a sacred relic)
佛龕	fó kān	fú kān	cc-cedict-buddhist	niche for statue (esp. Buddhist, Christian etc)
作坊	zuō fang	zuò fāng	cc-cedict	workshop (of artisan)
作曲	zuò qǔ	zuò qū	cc-cedict	to compose (music)
作為	zuò wéi	zuò wèi	cc-cedict	one's conduct/deed/activity/accomplishment/achievement/to act as/as (in the capacity of)/qua/to view as/to look upon (st
